groupId	artifactId	version	license	organization	url
ch.qos.logback	logback-classic	1.2.3			<<empty>>
ch.qos.logback	logback-core	1.2.3			<<empty>>
cn.hutool	hutool-all	5.3.7			https://github.com/looly/hutool
com.alibaba	fastjson	1.2.69			<<empty>>
com.alibaba.cloud	spring-cloud-starter-alibaba-nacos-discovery	2.2.1.RELEASE			<<empty>>
com.aliyun	aliyun-java-sdk-core	4.5.3			<<empty>>
com.chinamobile.cmos	sms-core	2.1.12.1			<<empty>>
com.fasterxml.jackson.core	jackson-databind	2.11.0	The Apache Software License, Version 2.0		http://github.com/FasterXML/jackson
com.google.protobuf	protobuf-java	3.11.0			<<empty>>
com.h2database	h2	1.4.200			<<empty>>
com.hazelcast	hazelcast	4.2			<<empty>>
com.oracle.database.jdbc	ojdbc8	19.8.0.0			<<empty>>
com.oracle.database.nls	orai18n	19.8.0.0			<<empty>>
com.squareup.okhttp3	mockwebserver	3.14.9			<<empty>>
com.squareup.okhttp3	okhttp	3.14.9			<<empty>>
com.zaxxer	HikariCP	3.4.5	The Apache Software License, Version 2.0	Zaxxer.com	https://github.com/brettwooldridge/HikariCP
commons-codec	commons-codec	1.14			https://commons.apache.org/proper/commons-codec/
commons-discovery	commons-discovery	0.5			http://commons.apache.org/discovery/
commons-httpclient	commons-httpclient	3.0			<<empty>>
io.grpc	grpc-netty	1.29.0			<<empty>>
io.grpc	grpc-protobuf	1.29.0	Apache 2.0		https://github.com/grpc/grpc-java
io.grpc	grpc-stub	1.29.0	Apache 2.0		https://github.com/grpc/grpc-java
io.grpc	grpc-testing	1.29.0			<<empty>>
io.micrometer	micrometer-registry-prometheus	1.5.1			<<empty>>
io.netty	netty-buffer	4.1.50.Final			<<empty>>
io.netty	netty-common	4.1.50.Final			<<empty>>
io.netty	netty-handler	4.1.50.Final			<<empty>>
io.netty	netty-transport	4.1.50.Final			<<empty>>
io.netty	netty-transport-native-epoll	4.1.50.Final			<<empty>>
io.netty	netty-transport-native-kqueue	4.1.50.Final			<<empty>>
io.rest-assured	rest-assured	3.3.0			http://code.google.com/p/rest-assured
joda-time	joda-time	2.10.6	Apache License, Version 2.0	Joda.org	https://www.joda.org/joda-time/
junit	junit	4.13	Eclipse Public License 1.0	JUnit	http://junit.org
net.freeutils	jcharset	2.1			<<empty>>
org.apache.axis	axis	1.4			<<empty>>
org.apache.axis	axis-jaxrpc	1.4			<<empty>>
org.apache.commons	commons-lang3	3.10			<<empty>>
org.apache.commons	commons-text	1.9			<<empty>>
org.assertj	assertj-core	3.16.1			<<empty>>
org.awaitility	awaitility	3.0.0			http://awaitility.org
org.dom4j	dom4j	2.1.3			<<empty>>
org.freemarker	freemarker	2.3.30			<<empty>>
org.glassfish	javax.el	3.0.0			<<empty>>
org.hibernate.validator	hibernate-validator	6.1.5.Final			<<empty>>
org.jsmpp	jsmpp	2.3.10			<<empty>>
org.junit.jupiter	junit-jupiter	5.6.2	Eclipse Public License v2.0		https://junit.org/junit5/
org.mockito	mockito-core	2.16.0	The MIT License		https://github.com/mockito/mockito
org.mybatis	mybatis	3.5.4			<<empty>>
org.postgresql	postgresql	42.2.9	BSD-2-Clause	PostgreSQL Global Development Group	https://github.com/pgjdbc/pgjdbc
org.projectlombok	lombok	1.18.12	The MIT License		https://projectlombok.org
org.simplejavamail	batch-module	6.4.3			<<empty>>
org.simplejavamail	simple-java-mail	6.4.3			<<empty>>
org.slf4j	jcl-over-slf4j	1.7.30			<<empty>>
org.springframework.boot	spring-boot-starter	2.3.1.RELEASE			<<empty>>
org.springframework.boot	spring-boot-starter-test	2.3.1.RELEASE			<<empty>>
org.springframework.boot	spring-boot-starter-web	2.3.1.RELEASE			<<empty>>
org.springframework.shell	spring-shell-starter	2.0.1.RELEASE			<<empty>>
soap	soap	2.3.1		null	null
wsdl4j	wsdl4j	1.6.3			<<empty>>
